iter	Passed	Remaining
1560	12114	7287
1561	12122	7279
1562	12129	7271
1563	12137	7263
1564	12145	7256
1565	12153	7248
1566	12161	7241
1567	12185	7242
1568	12193	7235
1569	12201	7227
1570	12209	7220
1571	12218	7212
1572	12226	7205
1573	12234	7197
1574	12242	7189
1575	12250	7182
1576	12257	7174
1577	12265	7166
1578	12273	7158
1579	12280	7150
1580	12287	7142
1581	12296	7135
1582	12304	7127
1583	12312	7119
1584	12320	7112
1585	12328	7104
1586	12336	7096
1587	12343	7088
1588	12351	7081
1589	12358	7073
1590	12366	7065
1591	12374	7057
1592	12382	7050
1593	12390	7042
1594	12398	7034
1595	12406	7027
1596	12414	7019
1597	12421	7011
1598	12429	7003
1599	12437	6996
1600	12445	6988
1601	12452	6980
1602	12460	6972
1603	12469	6965
1604	12477	6957
1605	12485	6950
1606	12493	6942
1607	12501	6934
1608	12508	6926
1609	12516	6919
1610	12525	6911
1611	12532	6903
1612	12540	6896
1613	12547	6888
1614	12555	6880
1615	12563	6872
1616	12571	6864
1617	12579	6857
1618	12587	6849
1619	12595	6841
1620	12603	6834
1621	12610	6826
1622	12618	6818
1623	12626	6810
1624	12634	6803
1625	12642	6795
1626	12650	6787
1627	12657	6779
1628	12665	6771
1629	12672	6763
1630	12680	6756
1631	12688	6748
1632	12695	6740
1633	12703	6732
1634	12711	6724
1635	12719	6717
1636	12727	6709
1637	12735	6702
1638	12743	6694
1639	12751	6686
1640	12759	6679
1641	12767	6671
1642	12775	6663
1643	12782	6655
1644	12790	6648
1645	12798	6640
1646	12806	6632
1647	12813	6624
1648	12821	6616
1649	12829	6609
1650	12838	6601
1651	12845	6594
1652	12853	6586
1653	12861	6578
1654	12869	6570
1655	12877	6563
1656	12886	6555
1657	12894	6548
1658	12901	6540
1659	12909	6532
1660	12917	6524
1661	12925	6517
1662	12933	6509
1663	12941	6501
1664	12949	6494
1665	12956	6485
1666	12963	6478
1667	12971	6470
1668	12978	6462
1669	12985	6453
1670	12992	6445
